qpp_metric,retrieval_method,n_queries,nugget_strict_vital_score_mean,nugget_strict_vital_score_std,nugget_strict_vital_score_n,nugget_strict_all_score_mean,nugget_strict_all_score_std,nugget_strict_all_score_n,nugget_vital_score_mean,nugget_vital_score_std,nugget_vital_score_n,nugget_all_score_mean,nugget_all_score_std,nugget_all_score_n,genonly_strict_vital_score_mean,genonly_strict_vital_score_std,genonly_strict_vital_score_n,genonly_strict_all_score_mean,genonly_strict_all_score_std,genonly_strict_all_score_n,genonly_vital_score_mean,genonly_vital_score_std,genonly_vital_score_n,genonly_all_score_mean,genonly_all_score_std,genonly_all_score_n,retrieval_ndcg@5_mean,retrieval_ndcg@5_std,retrieval_ndcg@5_n,retrieval_ndcg@10_mean,retrieval_ndcg@10_std,retrieval_ndcg@10_n,retrieval_recall@100_mean,retrieval_recall@100_std,retrieval_recall@100_n
wig-norm-k100,cohere,56,0.3108965934858792,0.21890774068631053,56,0.26703560211963573,0.17714785527004495,56,0.37576733782090926,0.22196643860175597,56,0.31551252931242424,0.18512510275612873,56,,,0,,,0,,,0,,,0,0.5580687080127605,0.259813305743647,56,0.5395406675229323,0.24200024771925344,56,0.3740172000740367,0.14226243828415167,56
wig-norm-k1000,cohere,56,0.3108965934858792,0.21890774068631053,56,0.26703560211963573,0.17714785527004495,56,0.37576733782090926,0.22196643860175597,56,0.31551252931242424,0.18512510275612873,56,,,0,,,0,,,0,,,0,0.5580687080127605,0.259813305743647,56,0.5395406675229323,0.24200024771925344,56,0.3740172000740367,0.14226243828415167,56
original,cohere,56,0.3108965934858792,0.21890774068631053,56,0.26703560211963573,0.17714785527004495,56,0.37576733782090926,0.22196643860175597,56,0.31551252931242424,0.18512510275612873,56,,,0,,,0,,,0,,,0,0.5580687080127605,0.259813305743647,56,0.5395406675229323,0.24200024771925344,56,0.3740172000740367,0.14226243828415167,56
max_oracle_nugget_all,cohere,56,0.5542941433566434,0.24907788026654662,56,0.49124896254968675,0.20199188474251495,56,0.6290176589283732,0.22741038676687314,56,0.5570650352522312,0.18506185991175608,56,,,0,,,0,,,0,,,0,0.582070575578145,0.2212747920109634,56,0.5566256087314957,0.1945091688345347,56,0.3782954756751833,0.16409363673557076,56
max_oracle_ndcg@5,cohere,56,0.35227827727827726,0.22899999148539935,56,0.28609835588633686,0.17189785054441242,56,0.4216217562199705,0.2192525635382005,56,0.3500448696148193,0.17242615126579697,56,,,0,,,0,,,0,,,0,0.7238876241538856,0.19853508574201117,56,0.6529218163347883,0.1889314633424859,56,0.37458981944169795,0.15061979996328015,56
max_oracle_ndcg@10,cohere,56,0.354246497550069,0.23015405796870086,56,0.2919890352932978,0.19178960727233774,56,0.41954142088070656,0.20935458544213503,56,0.34615975020697765,0.1926856076599664,56,,,0,,,0,,,0,,,0,0.6931387495578237,0.21967730676375147,56,0.6829875728608995,0.17895957367189824,56,0.38678750273518503,0.15024009456224238,56
max_oracle_recall@100,cohere,56,0.3621219802023373,0.24296378867633378,56,0.30878397012712583,0.19031825858070175,56,0.43288136714476,0.22472000514562768,56,0.3712767968185925,0.1829054891037217,56,,,0,,,0,,,0,,,0,0.6017564729544489,0.22063210845431344,56,0.5962442529619248,0.18248932844380278,56,0.4436104236549681,0.1608336123217152,56
max_oracle_strict_all_score,cohere,56,0.5543838106338106,0.26201768192197095,56,0.50241660521404,0.19749278781010424,56,0.6029170730063588,0.24022691476475586,56,0.5396823169597247,0.1863334255408641,56,,,0,,,0,,,0,,,0,0.575502544893273,0.2225434263919288,56,0.5573884837010444,0.193892100888293,56,0.3767188654626589,0.16382176359078707,56
max_oracle_strict_vital_score,cohere,56,0.6252060687328544,0.22488363934468816,56,0.45664814777278845,0.21724207355016412,56,0.6564039259351758,0.21624495615414704,56,0.49932402946763293,0.2027237490604772,56,,,0,,,0,,,0,,,0,0.5670909268683808,0.2402283617348568,56,0.554456376509817,0.21679072278921022,56,0.36723283366722886,0.15669472353613947,56
max_oracle_vital_score,cohere,56,0.6222298782566639,0.22532943320413085,56,0.4504404563628911,0.21393279844266386,56,0.6888854696890411,0.20804739505144118,56,0.5136133283748415,0.19656786757860642,56,,,0,,,0,,,0,,,0,0.568626781969389,0.24166298719634413,56,0.5521343316995342,0.20937412953628973,56,0.36537662388031517,0.15988922227627436,56
avg_genqr,cohere,56,0.3813013672835101,0.2291588101446266,56,0.3049983841070473,0.1864112175065141,56,0.44942440496011926,0.22748473614290887,56,0.3653849734823999,0.19051133023402475,56,,,0,,,0,,,0,,,0,0.5461712611793523,0.23912703386031536,56,0.5191836078463999,0.21385771196439443,56,0.33529153521839394,0.1629216975554173,56
avg_genqr_ensemble,cohere,56,0.36584470093398674,0.23755424658822288,56,0.3010470070895491,0.17735673135208313,56,0.4336077389872033,0.22994292942138705,56,0.358829611029481,0.1783056957377954,56,,,0,,,0,,,0,,,0,0.5103649237913911,0.2559383132849072,56,0.48571108752030473,0.23384064426893159,56,0.3272920201213134,0.1725223613096439,56
avg_mugi,cohere,56,0.37866535250463823,0.21353103462769804,56,0.29792281627103057,0.18140144196168762,56,0.43786190000475717,0.21264105483737053,56,0.35092991970742415,0.19273650505251363,56,,,0,,,0,,,0,,,0,0.5428657712678556,0.23709469538303476,56,0.5344011972406982,0.21992801895794967,56,0.36418280315416507,0.1645478659131219,56
avg_qa_expand,cohere,56,0.33512441923156205,0.20916545606309014,56,0.27379642046672675,0.16418711159669624,56,0.40136320772481493,0.20829440551728967,56,0.33384887866629903,0.16790157608801978,56,,,0,,,0,,,0,,,0,0.5376284633076807,0.23791033388940344,56,0.5200865601790844,0.21900748196156344,56,0.35527110507604476,0.16359237395613183,56
avg_query2doc,cohere,56,0.35151241119991117,0.21257741408091393,56,0.2737769637513943,0.16392547890985962,56,0.41516595507666937,0.2127085260042206,56,0.33203439739900376,0.1743121688168831,56,,,0,,,0,,,0,,,0,0.5631246829158212,0.23925848677189276,56,0.5521488899307371,0.22193168882057807,56,0.37135220883743486,0.16131810627773185,56
avg_query2e,cohere,56,0.34272131142666856,0.2305522364482447,56,0.29698081678690363,0.1742332384473953,56,0.41091337729730587,0.22875899827043486,56,0.35532272392455944,0.17991156153431367,56,,,0,,,0,,,0,,,0,0.5301835753286864,0.24109267366769954,56,0.5128556812776554,0.22014930990901932,56,0.3417319282217712,0.1504484420109867,56
